,geojson_name,point_label,point_type,geojson_id,tp_map_x,tp_map_y,latitude,longitude
103,Oude Statenzijl,Nüttermoor H1 and H4 (DE) (EWE) Renato / Oude Statenzijl (NL),Cross-Border Storage IP within EU,INET_N_890,-45.18,5.31,53.2019,7.205
104,Haidach,Haidach (AT) / Haidach USP (DE),Cross-Border Storage IP within EU,INET_N_17,-15.49162471,-34.0651452,47.9867,13.232375
105,Ried,"Etzel (DE) (EKB) / Friedeburg-Etzel, Bitzenlander Weg 2",Storage point,INET_N_23,-41.7,6.36,48.21,13.48
106,Ried,"Etzel (DE) ESE / Friedeburg-Etzel, Bitzenlander Weg 3, UGS",Storage point,INET_N_23,-41.7,6.36,48.21,13.48
107,Oude Statenzijl,Etzel (DE) (EKB) / Oude Statenzijl Etzel (NL),Cross-Border Storage IP within EU,INET_N_890,-41.7,6.36,53.2019,7.205
108,Ried,"Etzel (DE) (Crystal) / Friedeburg-Etzel, Bitzenlander Weg 4",Storage point,INET_N_23,-41.7,6.36,48.21,13.48
109,Bacton,Bacton (Baird),Storage point ExtEU,INET_N_516,-75.45,1.17,52.8506,1.466
110,Bobbau,Bobbau,Storage point,INET_N_204,-17.05,-8.23,51.703309,12.251789
111,Oude Statenzijl,Nüttermoor (DE) (EWE) H / Oude Statenzijl (H) (NL),Cross-Border Storage IP within EU,INET_N_890,-45.18,5.31,53.2019,7.205
112,Szoreg,UGS-2-SZOREG (HU),Storage point,INET_N_626,16.4527682,-43.0550957,46.302801,20.194969
113,Incukalns,Incukalns (LV),Storage point,INET_N_810,41.26160892,34.0,57.169567,24.696409
114,Grijpskerk,Grijpskerk,Storage point,INET_N_893,-50.45,4.65,53.278554,6.31028
115,Oude Statenzijl,Etzel (DE) (OMV) Freya / Oude Statenzijl Etzel,Cross-Border Storage IP within EU,INET_N_890,-41.7,6.36,53.2019,7.205
116,Lingen,UGS Kirchheilingen,Storage point,INET_N_239,-25.6862643,-12.16027264,52.516,7.331
117,Ried,"Etzel (DE) EGL / Friedeburg-Etzel, Schienenstrang, EGL",Storage point,INET_N_23,-41.7,6.36,48.21,13.48
118,Oude Statenzijl,Jemgum (DE) (EWE) / Oude Statenzijl (NL),Cross-Border Storage IP within EU,INET_N_890,-45.79,4.87,53.2019,7.205
119,Peterborough,Rough,Storage point ExtEU,INET_N_511,0.0,0.0,52.62697052,-0.301506985
120,Oude Statenzijl,Jemgum (DE) (astora) / Oude Statenzijl (NL),Cross-Border Storage IP within EU,INET_N_890,-45.79,4.87,53.2019,7.205
121,Avonmouth,Avonmouth (LNG),Storage point ExtEU,INET_N_493,-97.29,-10.44,51.5306638,-2.654260229
122,Haidach,Speicher Haiming 3-Haidach,Cross-Border Storage IP within EU,INET_N_17,-14.85,-35.03,47.9867,13.232375
123,Eschenfelden,UGS Eschenfelden,Storage point,INET_N_161,-22.86480583,-22.60040236,49.5845,11.6307
124,Inkoo,Inkoo LNG (FI),LNG Entry point,INET_N_377,41.0,56.0,60.044,24.005
125,Le Havre,Le Havre (FR),LNG Entry point,INET_N_471,-82.88,-26.19,49.499,0.125
