country,pointKey,pointLabel,isSingleOperator,pointTpMapX,pointTpMapY,fromSystemLabel,fromInfrastructureTypeLabel,fromCountryKey,fromCountryLabel,toSystemLabel,toInfrastructureTypeLabel,toCountryKey,toCountryLabel,toOperatorKey,toOperatorLabel,toPointKey,toPointLabel,validFrom,validto,lastUpdateDateTime
AT,ITP-00019,Überackern ABG (AT) / Überackern (DE),False,-15.25,-34.07,Austria,Transmission,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0009,OGE,ITP-00019,Überackern,,,Jun  5 2024  6:23PM
AT,ITP-00043,Mosonmagyarovar,False,6.15,-36.96,Austria,Transmission,AT,Austria,Hungary,Transmission,HU,Hungary,HU-TSO-0001,FGSZ,ITP-00043,Mosonmagyaróvár (AT>HU),,,Jun  5 2024  6:23PM
AT,ITP-00040,Tarvisio (IT) / Arnoldstein (AT),False,-11.87,-45.01,Austria,Transmission,AT,Austria,Italy,Transmission,IT,Italy,IT-TSO-0001,SNAM RETE GAS,ITP-00040,TARVISIO,,,Jun  5 2024  6:23PM
AT,ITP-00079,Murfeld (AT) / Ceršak (SI),False,-2.15,-44.27,Austria,Transmission,AT,Austria,Slovenia,Transmission,SI,Slovenia,SI-TSO-0001,Plinovodi,ITP-00079,Murfeld_Cersak,,,Jun  5 2024  6:23PM
AT,ITP-00168,Baumgarten,False,4.83,-34.34,Austria,Transmission,AT,Austria,Slovakia,Transmission,SK,Slovakia,SK-TSO-0001,Eustream,ITP-00168,Baumgarten,,,Jun  5 2024  6:23PM
AT,ITP-00168,Baumgarten,False,4.83,-34.34,Austria,Transmission,AT,Austria,Slovakia,Transmission,SK,Slovakia,SK-TSO-0001,Eustream,ITP-00168,Baumgarten,,,Jun  5 2024  6:23PM
AT,ITP-00168,Baumgarten,False,4.83,-34.34,Austria,Transmission,AT,Austria,Slovakia,Transmission,SK,Slovakia,SK-TSO-0001,Eustream,ITP-00168,Baumgarten,,,Jun  5 2024  6:23PM
AT,ITP-00168,Baumgarten,False,4.83,-34.34,Austria,Transmission,AT,Austria,Slovakia,Transmission,SK,Slovakia,SK-TSO-0001,Eustream,ITP-00168,Baumgarten,,,Jun  5 2024  6:23PM
AT,ITP-00140,Oberkappel,False,-11.0,-33.0,Austria,Transmission,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0004,GRTD,ITP-00056,Oberkappel,,,Jun  5 2024  6:23PM
AT,ITP-00227,RC Lindau,False,-32.26,-39.1,Austria,Transmission,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0014,TNBW,ITP-00227,RC Lindau,,,Jun  5 2024  6:23PM
AT,ITP-00308,Haiming 2-RAGES/bn,False,-13.32,-33.94,Storage,Storage,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0010,bayernets,ITP-00308,Haiming 2 - RAGES,,,Jun  5 2024  6:23PM
