,point_key,point_label,is_single_operator,point_tooltip,point_eic_code,control_point_type,tp_map_x,tp_map_y,point_type,commercial_type,import_from_country_key,import_from_country_label,has_virtual_point,virtual_point_key,virtual_point_label,has_data,is_planned,is_interconnection,is_import,infrastructure_key,infrastructure_label,is_cross_border,eu_crossing,is_invalid,is_macro_point,is_cam_relevant,is_pipe_in_pipe,is_cmp_relevant,id,data_set,url
38,DIS-00050,Thisvi,0,,21Z000000000424P,O_P_INCOUN_IN_FNC,36.96,-67.68,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00050,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
39,DIS-00051,Thriassio,0,,21Z000000000423R,O_P_INCOUN_IN_DIS,40.03,-73.45,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00051,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
40,DIS-00052,Trikala,0,,21Z000000000404V,O_P_INCOUN_IN_DIS,29.97,-70.07,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00052,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
41,DIS-00053,VFL,0,,21Z000000000435K,O_P_INCOUN_IN_DIS,44.52,-66.46,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00053,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
42,DIS-00054,VIPE Larissa,0,,21Z000000000437G,O_P_INCOUN_IN_DIS,34.15,-69.78,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00054,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
43,DIS-00055,Volos,0,,21Z000000000436I,O_P_INCOUN_IN_DIS,36.91,-70.44,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00055,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
44,DIS-00056,Xanthi,0,,21Z000000000411Y,O_P_INCOUN_IN_DIS,46.8,-66.2,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00056,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
45,DIS-00057,Consumption (HU),0,,?,O_P_INCOUN_IN_DIS,12.74,-44.72,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00057,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
46,DIS-00058,Distribution (RO),0,,21Z000000000318O,O_P_INCOUN_IN_DIS,47.94,-48.41,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00058,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
47,DIS-00059,Distribution (SI),0,,21Y000000000028A,O_P_INCOUN_IN_DIS,-7.34,-47.13,Distribution Point,Physical,,,False,,,True,False,True,False,DIS,Distribution,False,EU,False,,False,False,False,2DIS-00059,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
48,DIS-00060,Final Consumers (DE) (GUD) H-Gas-Summe Letztverbraucher,0,,21Z000000000334Q,O_P_INCOUN_IN_FNC,-21.8,3.1,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00060,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
49,DIS-00061,Final Consumers (DE) (GUD) L-Gas-Summe Letztverbraucher,0,,21Z000000000333S,O_P_INCOUN_IN_FNC,-20.65,2.81,Aggregated Point - Final Consumers,Physical,,,False,,,True,False,True,False,FNC,Final Consumers,False,EU,False,,False,False,False,2DIS-00061,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
50,DIS-00063,Aberdeen,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00063,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
51,DIS-00064,Alrewas (EM),0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00064,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
52,DIS-00065,Alrewas (WM),0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00065,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
53,DIS-00066,Armadale,0,,?,O_P_INCOUN_IN_DIS_ExtEU,0.0,0.0,Distribution Point ExtEU,Physical,,,False,,,True,False,False,False,DIS,Distribution,False,NONEU,False,,False,False,False,2DIS-00066,2,https://transparency.entsog.eu/api/v1/connectionpoints?limit=-1&timeZone=UCT
