country,pointKey,pointLabel,isSingleOperator,pointTpMapX,pointTpMapY,fromSystemLabel,fromInfrastructureTypeLabel,fromCountryKey,fromCountryLabel,fromDirectionKey,fromOperatorKey,fromBzKey,fromPointKey,toSystemLabel,toInfrastructureTypeLabel,toCountryKey,toCountryLabel,toOperatorKey,toOperatorLabel,toBzKey,toPointKey,toPointLabel,validFrom,validto,lastUpdateDateTime,id
ES,LNG-00023,Sagunto,False,-84.02,-69.93,LNG Terminals,LNG Terminals,ES,Spain,exit,ES-TSO-0003,,LNG-00023,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,LNG-00023,SAGUNTO,,,Jan  6 2025  3:40AM,4InterconnectionsLNG-00023LNG TerminalsES-TSO-0003LNG-00023exitSpainES-TSO-0006LNG-00023entry
ES,PRD-00231,Aggregated Production Sites (ES),True,-97.08806853,-67.15217667,Production,Production,ES,Spain,,,,,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,PRD-00231,PRODUCTION SITES ENAGAS Spain PRODUCTION-ES - Agregado de Yacimientos,,,Jan  6 2025  3:40AM,4InterconnectionsPRD-00231ProductionSpainES-TSO-0006PRD-00231entry
ES,UGS-00024,BASIC UGS - AASS Unificado,True,-110.019322,-68.2,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,UGS-00024,,,,,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsUGS-00024SpainES-TSO-0006UGS-00024exitStorageES-SSO-0003UGS-00024entry
ES,UGS-00024,BASIC UGS - AASS Unificado,True,-110.019322,-68.2,,,,,,,,,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,UGS-00024,BASIC UGS - AASS Unificado,,,Jan  6 2025  3:40AM,4InterconnectionsUGS-00024StorageES-SSO-0003UGS-00024exitSpainES-TSO-0006UGS-00024entry
ES,VTP-00007,PVB,False,-106.74,-64.97,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,VTP-00007,Spain,Transmission,ES,Spain,,,ES---------,,,,,Jan  6 2025  3:40AM,4InterconnectionsVTP-00007SpainES-TSO-0006VTP-00007exitSpain
ES,VTP-00007,PVB,False,-106.74,-64.97,Spain,Transmission,ES,Spain,,,ES---------,,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,VTP-00007,PVB,,,Jan  6 2025  3:40AM,4InterconnectionsVTP-00007SpainSpainES-TSO-0006VTP-00007entry
ES,VTP-00043,TVB,False,-100.37,-68.24,LNG Terminals,LNG Terminals,ES,Spain,,,,,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,VTP-00043,TVB (Virtual balancing LNG tank),,,Jan  6 2025  3:40AM,4InterconnectionsVTP-00043LNG TerminalsSpainES-TSO-0006VTP-00043entry
ES,VTP-00043,TVB,False,-100.37,-68.24,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,VTP-00043,LNG Terminals,LNG Terminals,ES,Spain,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsVTP-00043SpainES-TSO-0006VTP-00043exitLNG Terminals
ES,ITP-00082,Tarifa,False,-113.64,-76.39,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,ITP-00082,Transmission,Transmission,MA,Morocco,MA-TSO-0001,ONHYM,,ITP-00082,Tarifa,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00082SpainES-TSO-0006ITP-00082exitTransmissionMA-TSO-0001ITP-00082entry
ES,LNG-00016,Musel,True,-113.0,-58.65,LNG Terminals,LNG Terminals,ES,Spain,,,,,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,LNG-00016,MUSEL,,,Jan  6 2025  3:40AM,4InterconnectionsLNG-00016LNG TerminalsSpainES-TSO-0006LNG-00016entry
LU,DIS-00194,Public Distribution (LU),False,-51.2,-23.56,BeLux,Transmission,LU,Luxemburg,exit,LU-TSO-0001,BE-LUX------,DIS-00194,Distribution,Distribution,LU,Luxemburg,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsDIS-00194BeLuxLU-TSO-0001DIS-00194exitDistribution
LU,DIS-00194,Public Distribution (LU),False,-51.2,-23.56,Distribution,Distribution,LU,Luxemburg,,,,,BeLux,Transmission,LU,Luxemburg,LU-TSO-0001,CREOS,BE-LUX------,DIS-00194,Public Distribution (LU),,,Jan  6 2025  3:40AM,4InterconnectionsDIS-00194DistributionBeLuxLU-TSO-0001DIS-00194entry
LU,FNC-00041,Industrial Clients (LU),False,-51.64,-23.58,BeLux,Transmission,LU,Luxemburg,exit,LU-TSO-0001,BE-LUX------,FNC-00041,Final Consumers,Final Consumers,LU,Luxemburg,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsFNC-00041BeLuxLU-TSO-0001FNC-00041exitFinal Consumers
LU,FNC-00041,Industrial Clients (LU),False,-51.64,-23.58,Final Consumers,Final Consumers,LU,Luxemburg,,,,,BeLux,Transmission,LU,Luxemburg,LU-TSO-0001,CREOS,BE-LUX------,FNC-00041,Industrial Clients (LU),,,Jan  6 2025  3:40AM,4InterconnectionsFNC-00041Final ConsumersBeLuxLU-TSO-0001FNC-00041entry
LU,ITP-00072,Remich,False,-49.97,-25.74,BeLux,Transmission,LU,Luxemburg,exit,LU-TSO-0001,BE-LUX------,ITP-00072,DE THE BZ,Transmission,DE,Germany,DE-TSO-0009,OGE,DE-THE-----,ITP-00072,Remich,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00072BeLuxLU-TSO-0001ITP-00072exitDE THE BZDE-TSO-0009ITP-00072entry
